# Gene Family	3003B	3004B	3005B	3007B	3008B	3009B	3012B	3013B	3014B	3016B	3020B	3021B	3022B	3023B	3025B	3026B	3027B	3028B	3029B	3030B	3031B	3032B	3033B	3036B	3037B	3039B	3042B	3043B	3044B	3046B	3047B	3048B	3049B
1.1.1.35	229.356	1688.211	189.506	152.952	149.094	95.93	128.987	1240.574	839.171	443.56	660.909	961.823	408.761	121.214	68.781	122.743	1073.419	449.051	125.231	121.708	282.071	2795.148	196.102	1429.882	6.377	328.493	319.721	619.65	169.472	53.689	220.839	638.372	12098.388
1.1.1.350	0	0	0	0	0	0	0	15.28	0	0	0	1.402	0	0	0	0	0	0	0	7.676	0	0	0	0	0	0	0	0	0	0	0	0	157.463
1.1.1.355	14.7	0	0	0	0	0	52.149	0	0	68.295	11.403	0	0	66.316	0	22.675	0	0	0	26.346	28.622	0	153.669	0	0	28.403	21.582	0	0	118.682	17.136	14.873	13.694
1.1.1.36	157.906	173.63	23.773	0	13.666	91.183	8.436	21.81	17.07	0	0	62.326	58.683	0	8.504	9.643	12.805	11.841	13.593	26.47	809.062	189.082	45.438	103.638	48.009	13.646	93.863	83.94	28.349	0	0	208.704	23.512
1.1.1.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.909	0	0	0	0	0	0	0	0	0	0
1.1.1.364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.369	380.503	505.848	96.825	15.808	235.234	0	49.047	88.564	898.22	45.438	72.633	447.422	140.095	32.022	30.991	51.706	538.033	329.909	69.152	46.664	134.032	72.756	169.178	302.801	0	228.856	264.424	498.164	108.303	0	109.244	667.433	203.742
1.1.1.37	1115.975	1088.434	716.596	2927.84	217.683	243.73	2525.987	2863.018	1756.862	1702.605	636.18	1580.475	1305.368	3035.227	347.155	1632.83	187.294	1490.246	2285.33	1045.324	1080.279	1198.427	2512.214	793.835	146.297	897.984	795.932	2008.017	278.5	2759.326	1595.044	521.938	2446.069
1.1.1.370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.373	0	204.72	0	0	0	0	0	95.567	10.841	0	47.287	15.971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.045	1504.679
